"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"28-Nov-2013","     6092.00","     6112.95","     6068.30","     6091.85","      195315802","         6589.55"
"29-Nov-2013","     6103.90","     6182.50","     6103.80","     6176.10","      190711115","         5487.36"
"02-Dec-2013","     6171.15","     6228.70","     6171.15","     6217.85","      145948276","         5294.15"
"03-Dec-2013","     6204.25","     6225.40","     6191.40","     6201.85","      156852586","         5474.29"
"04-Dec-2013","     6187.95","     6209.15","     6149.90","     6160.95","      186169067","         5561.95"
"05-Dec-2013","     6262.45","     6300.55","     6232.00","     6241.10","      186060466","         7519.34"
"06-Dec-2013","     6234.40","     6275.35","     6230.75","     6259.90","      158539890","         5692.11"
"09-Dec-2013","     6415.00","     6415.25","     6345.00","     6363.90","      198285630","         8117.57"
"10-Dec-2013","     6354.70","     6362.25","     6307.55","     6332.85","      242412856","         8646.17"
"11-Dec-2013","     6307.20","     6326.60","     6280.25","     6307.90","      148196394","         5672.66"
"12-Dec-2013","     6276.75","     6286.85","     6230.55","     6237.05","      148533899","         5175.39"
"13-Dec-2013","     6201.30","     6208.60","     6161.40","     6168.40","      169650657","         6403.01"
"16-Dec-2013","     6168.35","     6183.25","     6146.05","     6154.70","      146451539","         5445.51"
"17-Dec-2013","     6178.20","     6190.55","     6133.00","     6139.05","      154174701","         5676.19"
"18-Dec-2013","     6129.95","     6236.00","     6129.95","     6217.15","      243250558","         7498.21"
"19-Dec-2013","     6253.90","     6263.75","     6150.70","     6166.65","      437039204","         9005.49"
"20-Dec-2013","     6179.95","     6284.50","     6170.35","     6274.25","      171969981","         6359.37"
"23-Dec-2013","     6267.20","     6317.50","     6266.95","     6284.50","      131187586","         4746.66"
"24-Dec-2013","     6296.45","     6301.50","     6262.00","     6268.40","      107642909","         3780.90"
"26-Dec-2013","     6270.10","     6302.75","     6259.45","     6278.90","      182310258","         6457.23"
"27-Dec-2013","     6292.80","     6324.90","     6289.40","     6313.80","       96867388","         3797.25"
"30-Dec-2013","     6336.40","     6344.05","     6273.15","     6291.10","      101271820","         3977.23"
"31-Dec-2013","     6307.35","     6317.30","     6287.30","     6304.00","      103439312","         3032.11"
"01-Jan-2014","     6323.80","     6327.20","     6298.25","     6301.65","       69567668","         2015.36"
"02-Jan-2014","     6301.25","     6358.30","     6211.30","     6221.15","      158132556","         5249.79"
"03-Jan-2014","     6194.55","     6221.70","     6171.25","     6211.15","      139043889","         5369.42"
"06-Jan-2014","     6220.85","     6224.70","     6170.25","     6191.45","      118344976","         4722.67"
"07-Jan-2014","     6203.90","     6221.50","     6144.75","     6162.25","      138559000","         5696.60"
"08-Jan-2014","     6178.05","     6192.10","     6160.35","     6174.60","      146912639","         5816.54"
"09-Jan-2014","     6181.70","     6188.05","     6148.25","     6168.35","      150064466","         5908.02"
"10-Jan-2014","     6178.85","     6239.10","     6139.60","     6171.45","      159920407","         7347.29"
"13-Jan-2014","     6189.55","     6288.20","     6189.55","     6272.75","      135009945","         5984.02"
"14-Jan-2014","     6260.25","     6280.35","     6234.15","     6241.85","      110231153","         4703.01"
"15-Jan-2014","     6265.95","     6325.20","     6265.30","     6320.90","      145922867","         6422.97"
"16-Jan-2014","     6341.35","     6346.50","     6299.85","     6318.90","      153420441","         6758.63"
"17-Jan-2014","     6306.25","     6327.10","     6246.35","     6261.65","      167719501","         7895.92"
"20-Jan-2014","     6261.75","     6307.45","     6243.35","     6303.95","      122136071","         5499.51"
"21-Jan-2014","     6320.15","     6330.30","     6297.90","     6313.80","      141728380","         5831.26"
"22-Jan-2014","     6309.05","     6349.95","     6287.45","     6338.95","      137490525","         5635.92"
"23-Jan-2014","     6325.95","     6355.60","     6316.40","     6345.65","      120054602","         5278.88"
"24-Jan-2014","     6301.65","     6331.45","     6263.90","     6266.75","      160270856","         6209.06"
"27-Jan-2014","     6186.30","     6188.55","     6130.25","     6135.85","      190442601","         7091.10"
"28-Jan-2014","     6131.85","     6163.60","     6085.95","     6126.25","      184111740","         7710.08"
"29-Jan-2014","     6161.00","     6170.45","     6109.80","     6120.25","      146733030","         6487.39"
"30-Jan-2014","     6067.00","     6082.85","     6027.25","     6073.70","      208061426","         7694.04"
"31-Jan-2014","     6082.75","     6097.85","     6067.35","     6089.50","      146713083","         5407.10"
"03-Feb-2014","     6058.80","     6074.85","     5994.45","     6001.80","      134893587","         4635.69"
"04-Feb-2014","     5947.60","     6017.80","     5933.30","     6000.90","      183252654","         6075.02"
"05-Feb-2014","     6004.25","     6028.05","     5962.05","     6022.40","      166627311","         5572.13"
"06-Feb-2014","     6028.35","     6048.35","     5965.40","     6036.30","      185503324","         6291.97"
"07-Feb-2014","     6077.65","     6079.95","     6030.90","     6063.20","      181932292","         5591.39"
"10-Feb-2014","     6072.80","     6083.05","     6046.40","     6053.45","      133070328","         4762.89"
"11-Feb-2014","     6072.45","     6081.85","     6053.25","     6062.70","      150520900","         5268.80"
"12-Feb-2014","     6085.35","     6106.60","     6077.40","     6084.00","      138547391","         5351.08"
"13-Feb-2014","     6087.55","     6094.40","     5991.10","     6001.10","      153652371","         5037.18"
"14-Feb-2014","     6023.75","     6056.40","     5984.60","     6048.35","      140204479","         5539.70"
"17-Feb-2014","     6057.10","     6080.65","     6038.30","     6073.30","      108492457","         4455.65"
"18-Feb-2014","     6071.30","     6141.70","     6066.80","     6127.10","      126639146","         4592.38"
"19-Feb-2014","     6132.05","     6160.35","     6125.75","     6152.75","       95248833","         3735.52"
"20-Feb-2014","     6127.15","     6129.10","     6086.45","     6091.45","      132108928","         4344.77"
"21-Feb-2014","     6108.30","     6159.65","     6108.00","     6155.45","      112596128","         4001.93"
"24-Feb-2014","     6140.95","     6191.85","     6130.80","     6186.10","      144877047","         4424.81"
"25-Feb-2014","     6205.70","     6216.85","     6176.60","     6200.05","      146259298","         4782.95"
"26-Feb-2014","     6202.45","     6245.95","     6202.10","     6238.80","      181663811","         6641.33"
"28-Feb-2014","     6228.45","     6282.70","     6228.10","     6276.95","      209914263","         7869.42"
"03-Mar-2014","     6264.35","     6277.75","     6212.25","     6221.45","      144562338","         5040.12"
"04-Mar-2014","     6216.75","     6302.15","     6215.70","     6297.95","      166818924","         5550.29"
"05-Mar-2014","     6328.45","     6336.25","     6287.80","     6328.65","      160300066","         5754.58"
"06-Mar-2014","     6344.75","     6406.60","     6339.70","     6401.15","      180731810","         5844.96"
"07-Mar-2014","     6413.95","     6537.80","     6413.55","     6526.65","      284922346","        11368.15"
"10-Mar-2014","     6491.70","     6562.20","     6487.35","     6537.25","      242143703","         9992.74"
"11-Mar-2014","     6537.35","     6562.85","     6494.25","     6511.90","      238994883","         8268.67"
"12-Mar-2014","     6497.50","     6546.15","     6487.30","     6516.90","      174977068","         6176.54"
"13-Mar-2014","     6491.75","     6561.45","     6476.65","     6493.10","      167858387","         8356.10"
"14-Mar-2014","     6447.25","     6518.45","     6432.70","     6504.20","      177336088","         7114.55"
"18-Mar-2014","     6532.45","     6574.95","     6497.65","     6516.65","      179308616","         7268.52"
"19-Mar-2014","     6530.00","     6541.20","     6506.00","     6524.05","      172464722","         7666.24"
"20-Mar-2014","     6508.35","     6523.65","     6473.25","     6483.10","      141984189","         6280.76"
"21-Mar-2014","     6515.20","     6522.90","     6485.70","     6493.20","      189854420","         8841.94"
"22-Mar-2014","     6497.80","     6502.65","     6481.35","     6494.90","        9774392","          373.66"
"24-Mar-2014","     6510.50","     6591.50","     6510.50","     6583.50","      158395722","         6633.77"
"25-Mar-2014","     6550.10","     6595.55","     6544.85","     6589.75","      168125064","         6475.61"
"26-Mar-2014","     6615.65","     6627.45","     6580.60","     6601.40","      186570474","         7046.34"
"27-Mar-2014","     6613.10","     6673.95","     6599.50","     6641.75","      312383468","        12924.37"
"28-Mar-2014","     6673.05","     6702.60","     6643.80","     6695.90","      134114378","         6862.55"
"31-Mar-2014","     6723.15","     6730.05","     6662.40","     6704.20","      177579421","         7743.30"
"01-Apr-2014","     6729.50","     6732.25","     6675.45","     6721.05","      147136671","         7174.14"
"02-Apr-2014","     6757.60","     6763.50","     6723.60","     6752.55","      173335875","         8007.75"
"03-Apr-2014","     6772.05","     6776.75","     6696.90","     6736.10","      197546648","         7738.58"
"04-Apr-2014","     6741.85","     6741.85","     6685.15","     6694.35","      155127592","         6676.88"
"07-Apr-2014","     6694.25","     6725.15","     6650.40","     6695.05","      133947319","         6707.01"
"09-Apr-2014","     6722.00","     6808.70","     6705.10","     6796.20","      169794626","         8892.66"
"10-Apr-2014","     6803.05","     6819.05","     6777.30","     6796.40","      191125947","         9079.60"
"11-Apr-2014","     6758.35","     6789.35","     6743.15","     6776.30","      140734579","         7463.19"
"15-Apr-2014","     6792.70","     6813.40","     6711.75","     6733.10","      123197822","         7100.26"
"16-Apr-2014","     6727.25","     6748.65","     6665.15","     6675.30","      119768833","         6168.64"
"17-Apr-2014","     6695.45","     6783.05","     6684.40","     6779.40","      131488368","         6952.58"
"21-Apr-2014","     6789.25","     6825.45","     6786.90","     6817.65","      111840313","         5711.98"
"22-Apr-2014","     6822.90","     6838.00","     6806.25","     6815.35","      114693049","         5636.78"
"23-Apr-2014","     6823.25","     6861.60","     6820.75","     6840.80","      182972972","         9247.25"
"25-Apr-2014","     6855.80","     6869.85","     6772.85","     6782.75","      154320793","         8021.33"
"28-Apr-2014","     6778.55","     6786.25","     6750.30","     6761.25","      118162668","         6297.18"
